Route,Start Station,End Station,Polyline,Start Duration,End Duration,Mon - Start,Tue - Start,Wed - Start,Thur - Start,Fri - Start,Sat - Start,Sun - Start,Mon - End,Tue - End,Wed - End,Thur - End,Fri - End,Sat - End,Sun - End
Adirondack,"New York - Penn Station, NY","Montreal, QC",q`vwFj`sbM}Wzs@y^ee@oyAoj@scHs`EaxBihAo}@{L}aH{nD{aGuaByfFslA_dL}cBifEmk@krBvZcyBwGqtCkLimE|d@ywCtjAwbA`m@u~@dsBcvA`hBcw@sLgz@wIaiAnp@}|Adj@{q@iU{a@_[aq@rlB}qBfoDcj@pW_gAkz@m{AqnAk`Du`@goB{o@kj@~AqxAb_AypCrgBu{BjnAs_DiMeiEjS{yAeVaeCkz@chC}`CcoBiVyfD{EubKaj@q_EkJkdH_CokAjx@eaA|C{zEc[i}BuQmbBw|@i~BwJi~D|`Ds~BeM}rAuo@s`B~FeaDcq@yhEyz@chLud@swEqo@e~CulBejDsdBwnCehDgdCyf@gxDc|BqoAe}Ci]yVmcGgkDaqCx]msCpB}cCd}@}`EiVqhEuy@i|GwCiqFcq@aoD{kAcpFgRq_D~Fk}Ci_@u|A{Vct@xXg}AnaAkxAbdEam@bfEaqBv}CyjKtrMqzBp|Eer@bIek@y^co@ay@qj@_y@ih@{`@ck@nOs|AinBi~Aku@exCgtAe`FmeC{oLmlDocD_Uk_CeqBu}CuOsbBs`@ssB{pC}sAg{FcqAuiEo}GwcF}|JczMukDg{Aw`EkrE{tGy`Hg`Dm_B}qB_F}~C}UkiAcS}Smh@myAgsC_xDgrBi_IwnCu{Ecp@qrAhQimA|dCgy@rR{jCsg@ei@cJsu@lm@gz@~Qq}@ye@_pAkdA_cE}hAuo@gp@{sAyl@kp@kdAgbAoT_zBcf@m{CyUyjCv`BsiAx`Bcc@xb@_yAwG{m@]c_A}dA_{A`c@wrCgRgkAvx@w`@`hBc`DuD{aBpCciAgWmrBbo@ie@pIumA|xC}c@fu@uo@eQamAbVilBnYe{BubAkgC_[qpAw@sa@dEif@__Amu@jJwQ`m@_n@dOcjBlBcdAb@ykCzq@_vAcu@odEqHgrAaw@ofAefAkoBsdDgzCmfAgjGze@udHpbBqeDzk@y_Dgz@{vBo~@ubDfpBk^t]a_@sRim@kiAc{@}{Asv@aZkh@~Re{@joBqxAtuAisAn~Amz@tcAodAgSohBwMmiEbeAcuDso@ueD{HuoAp@mb@hl@ikEjoA{hC~NsyA`@yjBjmAwyDxhCgu@xZaaAkPysBktBwdBypAwfAsxBurAopBk_CkhCgrCiy@giHsmDgcAsBqlRysFukd@k`N{l@{Uia@fOyqAz`E}oIloUsbLhsIswBinAq_Bk_Cmm@oj@u|CntGxTv~E~`BbgHvEh_Aew@~Cab@~z@,656,630,[8:15],[8:15],[8:15],[8:15],[8:15],[8:15],[8:15],[10:20],[10:20],[10:20],[10:20],[10:20],[10:20],[10:20]
Cascades,"Portland, OR","Eugene, OR",oi{tG`iwkVy@aB`DaEZe@t@kBvDgTB{A}FqQ@iCn@{BtCeEpCwBvPOt|@JtNCvEoArBkA`GmHrPm^nTse@fGuK~HuGxHaGtOgJbRgFxm@cJvnCo`@hdAkOlImDfHuGhCcEdGqNzz@oyBrSaz@fU}aAzN}hAjCeM`BwDpE{FdM_HxUwKrYuL|LuBfK[hJd@xs@pIvKxEtEzEhHhLbEnG`GbFbJjC|Pf@nH|@|ElB~[|UdXdSlFhEjGnH|OhZd`@vg@n^na@xPfZlFpLpD~EjMnPfL`PnNjQrC`Hz@jHhAdNzApHjExL|f@vqAdPrd@zIbPlSpVbHtGhV~QhGhCnIxAvOfApO@vI`AbTzF~f@xM~IdAfI_AlIaCpJaHlKcLtJgGxEoBdZhDhETvExBpKjOdGtEvEnBnDjA`KzHpN`M`f@lb@~NpO~HrMlFdM|EzPnTp{@`e@|hBjM~d@hOvZfm@lgAhSr`@pGfXpBhQ~HfW`BpExJ|XbDfEjHrKzFrFxOjExFfD|RbRrM`Kxc@tTxErCrHjDzEpCtLpLt_@`h@|qB`nCzjGtkIpdHpjJfsAtgBnMdOxsBfcBhtAhiAltAxhA~kAv`A`y@t[rj@tS~oAne@fw@xYnSnHbKpDf\nN|t@|]p]rPhe@`Ux\jP~FdDxJlHjh@vS`]~MnGp@lJSjb@KnWLfQQ|LqB`DkA`LwFxPuNjKoN~OgZpQu\lu@_vAjU}h@pI_NpIgJjHqFxZoOt~@ub@~N{Gpa@y`@tp@io@rg@qe@fHeE~CwArGcB~Dq@rKcBnz@uLnzGq_ArjBmWhT{@vM|AraBjW|_ApOhJtEbKtLbF~MvCfQg@t{@{Bh~AkAbw@Kd^~B~XnDxOnEzKrKjPtKxIhLdFfHnAxNVfNTvJnDxCbDnDrFvBzGvBtLjD`Ufl@tqClNfo@dEzJbEdGvCfDjHpFpMdEdL\xg@gCzJc@lLTjW|Ez{Af`@d{Bjk@lHrDvG|G~ChFzC~HrGpWvSj{@hLlf@tG`XrD~LdFlLzH~LtM~M|LvH`IxCfKvB`Pj@pw@IdhDCvuV]r|LChcAGvpHChINnJfB~KlFlEzDvMpPltBprCx`C~aDzItJfClBxGfDfH|BtPhAffB@nGLnHhAlHpCtGrErI|KtMbVtpAtbCnI`NtJ|HzHxCbNVp`@o@lpD{GbeA}BnOmCxp@mXx}HmeDlkBaw@|FyA~VmKbdA{b@|QmHdC{@|DeCdH}L`J}MrOcZ~v@mxApk@ogArFqM|CaKbFmYtBsZlEcr@|@N,155,155,[9:00],[9:00],[9:00],[9:00],[9:00],[12:35],[12:35],[],[],[],[],[],[],[]
Cascades,"Seattle - King Street Station, WA","Portland, OR",gqoaHnrsiVxSuAfJhBpYvFrjAdCznAoAbZyYxbAkmAb`BemB~rCwhAhi@ic@z{@efA|b@kYhUi`@neAo}@bm@mi@vo@t@duEgBbhFKl{CkQtgK|@~NbAvx@hd@dK`En`Bb@b`Ka@rM|E~DzYwKfkAcJ`lAwtAnuH_iB~~JoGbdAaKbn@gJ|n@zIdbBeAnTcVbIoq@zEuWhKec@b\ee@fk@{Px[gKrf@}S|nAyu@bbByf@bp@ySff@{Hh\FzZlQbhA`RxYls@jDjg@nUdcBfwA``@nS~f@~Gvw@~k@f_@r[xZ`C~_@pD`XfPtXn_@pTzXn[xPh_AzO`y@p@dd@`VvSvItUfPzJzg@|]xqAh^tUtt@`N~h@bS|`@dXpYz^zYbo@lDfo@tVdn@rfB|gB|rAxv@nb@|s@j]vOjm@bGvg@tC~h@nWnh@mEjRmNzNk@`g@fc@~bAzdAzqAz_AvpCvuH~zAffExhA~yC~pDldDl_Fpm@djF|m@`_B_`@~o@s@xsGzIjv@zl@dOpTvOzi@`J~e@xf@pbAtrB`uDlgAbz@|U`Czp@tTbs@d_@|_AnYrfAz`@ncCtw@juBjq@vg@\bdBaLhaAyDxUaAhg@oPh~A}pAv]og@ta@as@pOye@tf@gPx^i`@fr@}oA`UqNdQnE`YnT|jA~|@dcA`w@xp@b_@hkA|[vh@tN`Q[bu@}t@b_@yNbMjAhQbNhb@lLjNt@v[fQ~dAto@hmDp_AtxAtd@|f@v@vc@sHpaAgCly@{@|UeN`O}KhRk@~VyMrY_i@n_@kHv_@_Vht@}r@lp@uM`h@bG|QmAby@cbAbVwMv}Cqf@nkAkZbh@sSnYoEzWbBfe@uXr{AyhAdr@{`@ra@hS~a@x@tf@pHfc@`b@`{@hr@r\l@xQcEdq@qKtjAa[jPr@bSpL`f@fOfu@tw@teArLfp@oHptA~Ux`@fC~]ePx`Bu~Brl@g\~l@_aAzv@ef@~w@wQv^u@~l@nBnz@mRfcAyL~wDknAvoB_h@tUwOhv@y~@haB}gAty@mbAb\ggAvnCa`F`QuQjViE~qAsDrsGyS`k@kOjx@u]dQCz`@dPjo@nEpsBi@dXcKnTu]l`@aOxe@tAxn@pPpU@xu@`Fvr@lLpeAVxuAib@ru@mYti@eN~aBon@pfByzAr\g`@p\aLvf@cs@hUaPnjDyYrtBwK~TtCdiChvCvz@bDxmCf@rQaDzHoIrk@s`AjzAerAlTuQ~_@ok@~[wOpZcWtBwIlE^zFdUgEtT{CrJ,220,220,"[10:25,21:05]","[10:25,21:05]","[10:25,21:05]","[10:25,21:05]","[10:25,21:05]","[10:25,21:05]","[10:25,21:05]",[15:00],[15:00],[15:00],[15:00],[15:00],[11:20],[11:20]
Cascades,"Portland, OR","Vancouver, BC",oi{tG`iwkVPex@mKpRocAry@seDvnD{fD`X}iBap@opBgpBafHff@{mBb`B{qF`gDauE|bAw|Emh@qz@bi@gzAzRm_B{EwmBjHgtK~k@apDvfFosA~mCgsApaAi`EbbCikGhcBaxD`_@evBbnBgdCboCgbAz_@i{AmYevBa@i|AkiAqpEn]u~Bu`BknA}TudCr}AujCny@ybGzmAiw@fcAq}@m@ugDz`Bcq@ny@gaB`^g}CvM__EqfAc~EolB{aAkIks@tt@gq@oDmgCm}@umC_tBeeAuT{pAtrB}oE|_FcpFjm@yvGeeBqvI}qDedDuvGg~AszBasGeIqvC~_@gcMg{AolDw_DypCspHkzCsoI{mBugBihBm|Aox@~UsuBu]c{AgsAeeCkeBegAotB}p@ggBgr@ua@yzAq^yf@mdAulBo}BwpB{NazAqtAegBgj@krEquCouBem@ad@coBxM}r@zy@msAjw@kfBtq@onC|dB}rAdq@_FtPaf@lVebG`iEaaWdCceBicNiBw}Cgn@swNzOobMfAiqCllBerDhlD{hC|fAedBztBwgAxsA_qAvDm{BsN{aAf]_XzfAw_@z}@sxAruBycCnl@}pBz_CiqBqDa{@I_j@mfBatAm|@ii@gGiuBb`@yxA]krAloAoxA{JoiBrXit@_`A}oBcxBynAiqBwhBeiAuiAma@aiBjDa~D_vAmtDgmAcaA{iHu|@ahCit@amAkRkxBnp@cg@{Ei[aaAomAwwD|v@grGeq@coGcTghFzzBqxFh}EmrAvl@mcAvqBkgC`fJ}bBnoEmxDzpBm~HweCagPwt@yiBpN{uAcjAsiBiBcvIjkAe_BnkEy_DlwBs_H|oEiuCjkDkfB|uDmfCrzBwuAcbAqwBfj@m`@vsB_|@hMeu@mDcSyq@wt@w^ktB}}Byo@bx@wd@d}Bo|AphDij@zlAai@fhAqmAjNkw@uPmxAzr@gvBhoBmzD`AyqBdnB}rJpmPapEjtIg}@~P}aA~qAehBnsKkEzrFkbApu@oxAvHmkA{dC{fDzF{O~xDymBduAcYlnAgn@je@imAq\my@zm@qeA~tAgtAasBg~EitEa]b{@sbAw\{iAsdAafA`wBce@x~An\fiEy{Ap_CoSjmForDbmBas@d@w`@ntB|D`aAcF{gApe@}oBlo@`@nsDcnBvRamFdPemBbl@asHn|AwqBb}Apv@|vAb`Apf@~mA}RntA~TfaCqY|u@w~@dMyx@nmF_}AjnEosArjEws@xYgqAjrD,515,515,[17:50],[17:50],[17:50],[17:50],[17:50],[17:50],[17:50],[9:30],[9:30],[9:30],[9:30],[9:30],[9:30],[9:30]
Cascades,"Seattle - King Street Station, WA","Eugene, OR",gqoaHnrsiVfeCpKznAoAbZyYxbAkmAb`BemB~rCwhAl`DefDneAo}@bm@mi@vo@t@duEgBbhFKl{CkQtgK|@vhAlf@tlBdFvnKzDwEbfB{iEpbWqSfsBgJ|n@zIdbBiXr^oq@zEabBttAar@jsCmrBnzDsHdx@nd@|bBx{AzZdcBfwA`hAn\vw@~k@`{@t_@~_@pDvq@vp@`q@tj@jyBlQ|x@x`@pa@by@|]xqA~sAvd@|jAhl@lt@~nAb\l~ArfB|gB|rAxv@nb@|s@vkAzWvg@tC~h@nWz{@{T|v@za@zuCveCvpCvuH~zAffExhA~yC~pDldDl_Fpm@djF|m@`_B_`@~o@s@xsGzIjv@zl@xrA~iDtrB`uDlgAbz@z|DlsAbkEpyAb~Chr@bdBaLl`CkX`}BmyBfr@{yAnfAqq@hhAo_BdwB~xA~tBdwAbgCvj@fuAwdAvbA|]bqBrcAhmDp_AtxAtd@tkA{FpaAgCjpAaPjz@c\rY_i@f`Ak_@ht@}r@lp@uM~z@tDby@cbAztDiu@boCou@b~@qUxnCujBrdAbUtf@pHfc@`b@`{@hr@lo@uCz|Bsg@pkAl^fu@tw@teArLfp@oHptA~Ux_A}Kx`Bu~BrzAg~Azv@ef@vwAmS~l@nBnz@mRfcAyLvhHkwB~lAqoAhaB}gAty@mbAb\ggAvnCa`Flh@_X~qAsDrsGySldBan@lcBpVpsBi@tm@yi@l`@aOruAfSjlAbFhyBdMbzGm{BvaDciC`}@edAnjDyYrjCaGdiChvCpiEjEn[qNrk@s`AjzAerAlu@e~@pw@{g@tBwIhMdVgEtTzBcK}Ash@`QiHhyAm@fz@k|Af[wVviEku@neBw]|sBkiGxS_{AjZ{ZftAs[bu@nJ~Z|Zzr@tTb}@jn@ptAnhBfzAdbCpnA`oDzs@fr@bs@lHzfAvWfj@}K|]{Wn`@~Dxr@ri@roAtoArgBhgGfm@lgAli@ldBfd@~y@~~An_Ad}ApbB~eQxrUrfD~lEbiEpmDlaDpjCtuDzvAbuBjx@lkDreBlfAvb@hv@PxiAyLdwBcnD|_@}w@vn@ib@fqBkmAdpB}aBbmAkQl{K{yAhqDzj@p]jb@KfmDf@hpBrW`n@`r@fT`h@xZju@luDvZhcAt[~QtfBdBfjFd{AzaAvsDtl@ds@x`EpHvpr@o@xa@dJriC~iD|oCbqDvb@nJffB@bc@|L~iBvfDdn@p]x`ByCxfE}Ln_Bup@n{KotEf{Aen@xi@e{@pcB}`DjVuoAjGsq@,390,390,[17:10],[17:10],[17:10],[17:10],[17:10],[17:10],[17:10],"[8:30,19:00]","[8:30,19:00]","[8:30,19:00]","[8:30,19:00]","[8:30,19:00]","[12:00,19:00]","[12:00,19:00]"
Cascades,"Vancouver, BC","Seattle - King Street Station, WA",swvkHxpinVzFy@tGqp@lJos@~b@ohA~u@uFhcAaqCjtAkeE~|@uxCh`@yqBXgt@rc@c^bVbH`PtAhKaKjDm_@uF{`@mPcbArJqz@hIkx@sMcc@kd@ubAwa@eb@mx@wRqq@ou@yUjCaWzZkXf_@qTfAwb@l_BqPhkEeVztAmSz}DkGb_CcObNktCn}A{_AhCeOzOy]veCxGp_@hK{B`BsUaO}t@pGib@jRy{@vVkFlh@QjeCcmAfn@sp@`E}iEdm@}gA|n@y|@lEonAk\osBhAgt@vWwc@lXm`Apn@siArZ|Nln@rq@`j@~Jxb@tOfTuu@tMyDnoCppCznAfwAhk@flAdQhRpPHtuA{pBb^cP~d@nFvw@jXh[mVhHmg@~^{cAdgAwj@~WoRnDwTaDc~B`I_a@~W}WzhBeGtz@~Qbr@bhBfXl\zi@zChx@}k@b^sOtSq]dBejAmC}wDbv@eaFjbAgsDb|@}x@re@}CdSgNvd@ysArdLuyR~vCgcFxi@kr@`eDj@pl@b@tNyOpj@g|@tzBghAh`@mRpT~@j{@jO`cAcZrj@mtAtQwh@dNmT`Ywg@hb@}e@r_@cdBfj@e|BdXyd@fQhBdu@bv@fhAdsA`[VjQ|a@lUxi@v]Trh@sYbP~C`L?|LaSfHepA~VkThv@{Y~nAiLxf@tm@|Q~TfWcH|Xee@tXcD~m@sh@xs@ueAps@wiAlM{mA~tAevAh`@wTdZkp@fw@{k@jdCu}AffEqlCtz@am@dRgg@xlAkeDn]_K~{Cu_@dv@iKdpCm]jf@hD`q@b]pl@fj@|Z`D~[oN|jDdM|yMvp@zwEt~A~aBpc@jXgEhk@ia@llBk}Af`@go@vpBy}Iv_@caBbU{Zpy@asBxt@kg@nr@cZtb@gi@zyB_mBpfC{gBlnAcr@vwCyt@nfGrf@xaFpx@x_@iRnoAsS|k@cSfg@qG~PtLtZhs@b_@rTq@lQsl@zUsDxgBzmBdnDvTbr@bBv{@fIlqA|]v{Ab_@nfBjt@~Xdv@{Fbh@bTbe@te@lrArh@ht@pIrpAva@r_@iNfo@mBbg@l]~i@Er_@bNtb@dc@tNpj@t_@vn@~kAdtA|lB`yBrUnX`e@_N`aAwI~TjIve@~Fx[eDpTiOth@mk@bTsRvT~Bpf@tKd_B{q@re@mDlVhL|o@tGlc@xRtZzYnP`_@f[`jApRpNlc@oJrl@fExq@`Mpb@mRdWeIfb@khAhv@yk@~u@m@n`@{Bha@yd@|s@q_AdeAyvBdDmOhHac@db@aj@`PuA|EfC,265,265,[20:35],[20:35],[20:35],[20:35],[20:35],[20:35],[20:35],[10:45],[10:45],[10:45],[10:45],[10:45],[10:45],[10:45]
California Zephyr,"Chicago - Union Station, IL","Emeryville, CA",wlr~Fna|uOd{OvtyAhuBbs\lmNjlZbcZx~jC|r_@pjbA`}Lham@`nXd{z@hrm@hieA`mJ|jVyvAlob@xkHpoe@`dIx_k@izCnyOw|Zp}hAauFdc|@pnBb`vAw|Ltbe@}nDtuYtnJds^vxJvrb@avAj{^}gIvgm@mOlgnBkU|dbBdgO~zeAdhFtnZgiHjkUukEvbf@idB`ub@}iC`rs@~kDnxK_v^leBibMv{UbuIpjVppJlrf@bha@|~c@`eZpzr@r~MrmXlqVhtZy}B~b|AzcG|noA|jA|xuBy`Ddq\nwH|{^`eWvmiBbuPzm\rgSp~Kw{Hzj}@d}Qx`fCkhA|ux@r{Fzjj@npHpjt@phGx~VjtFf~h@ljD|ll@yjLtoc@}oDhjdAojGn~oB_s@`xl@uuP`gl@gFjvQjiApeu@~{Jxux@zxNtaeAttFhzT|uTpiVvkTpvWlvN~oRkdGfvA_eFfpVuoA`{UkmL|`Ncb@~eXjuClga@gjA`x]uuO|xI{{Hd~EasFnka@z_JvqjAtrPfcWtyK|qKdYvcJi~FttP~kFbvNnjOdwUx~\duSz|Nzlj@|kAhcoAb}Lngu@btZnbi@|mWfvIrdVpsb@s`Bfvc@{~Slnh@dkGl_UpyTxjl@rfTxp_@yvA`hs@jcBrxc@lkCl}UaiI|vY}wIjvl@ejq@~bMusOjkHmeD|`HkmJd{Xw`Ylgf@cyQz|HuzThpNseFpmLq|Pz{XfdA|{Ho`HbzWqzMval@e_E|tE_iOnzEy{`@d|[wwPhiXezEnlFk{TeoDsi_@pl@qeEhlDdjAfuZpgCbzS`wGbbp@qpXdcrAhjGdxPdjFtnIfyAnwx@~gB`fbDyg`@xeWekLts@tq_@det@v{G~xH{eJptHucb@vw{@qnYl{CsjD|eWjof@rdjAsMh}]`fh@ft|@v`Axe[d}Of_M`wF~zObmAzgVmuGdtSujPfuDtZvpYh`Dljd@ksShh]mhYtx^woPzr_@jdHj{TywLbr^dhJnsWlxN`ya@tba@jdZfySv|e@xqWfwHhhd@~uJ`nR|vSjiVnb`@`mVncJl`MflN|rXnN~_c@npt@seHbaj@f|Bx{Qr}DrpYpzHvja@iDn|b@wg@l}Sr`KxhGlaKn~ArzAl|Mx_Pru`@u~AdbAqjApyVb~B`yWbe@npZjgJlnKrmOv`]z_VtwMvyRvuVp_JfzHlbFn}N~`TfoOf|Y|h[|nDdqc@d_Qft^voq@deq@`a[x~JhwGbGqoBxzJ`aD`nTx|EvfLf~ZuzK,3130,3100,[15:00],[15:00],[15:00],[15:00],[15:00],[15:00],[15:00],[12:10],[12:10],[12:10],[12:10],[12:10],[12:10],[12:10]
Capitol Corridor,"Sacramento, CA","San Jose, CA",_}njFjrqdVwJzBH`BH|HInGqGt_@gCdz@yBphAEv`@dDhe@bTd}AxoB|uNxuAt|JfW~iBvVpgBfD~QrEzJd[rYbxBxjBj_UtqRxoFduElxF~{Evg@~b@~[vXvTlPfx@la@di@lXpJxGdTdU`Qv[bc@~_AtqBrpEjfAr`Cba@z|@jGzK`IvJ~SlOzc@hR|_C`cAbgErhBboF`}B|h@fUzg@hSxWnCdTOh}Au@za@zAnuAzUz\rG`JbGnd@r`@|k@nh@fi@ve@vJxDp]hHna@nCfGUdFqBxoAu}@hHyAbHJpVzAlJjDlJxMtAhHbHbd@`C`H~IvO`DxJtBrUb@t[yBlN_FjRmg@haB}I|XsDlGmH|D{EfG}CrF}ElDwRhB_G`BkJfH_UnL{GzIiFzKkFdGqGjHmKlT{D|Kk@hOc@|WqBjQsOxfA}DhYAdGrEdTPvPsEp`AgC`VgAxNrC|L~LvV~KvJlFtH|AfOb@zd@~BnInDjEdN|Bn`@~CnFlDzCtExEfSlHt]~G|G`UjCbIzBnKvFjI|LhNlHfKvGrCdF`FlXdCnHnHdHtRrN|RrR|FrHjBvEb@`Dg@vZC~JjBdTuFj^O|G|@dGtBfEn[|a@bOtWpHhO`DzOd@fOuFri@cCrZ`BfTnH`SlFrGlNtH`UnBr`@~Af\rAjsDpOlR@d^wD~QqFbXgNrU}RlTsZ|`AmxA|Wk`@xMwN`~@yr@po@gf@zLqIrIcDnZgFfr@iM`tAmZrmC_m@hXwFlZsElb@_AxHRzQtAfNlCrLbGfl@zu@xHvIvGdE|FxAlGPzAEfM}DdHiGlD}F~C{IjCgLxJmt@|Gs^fJy\|Vc}@pH_i@fDa_@`Gaf@`FkTxPge@lrAyxBjWsb@bKoPbe@cm@ne@ak@lO}QlqAg}Ad|@_eA|hDkaEjaNafPtfBcuBbu@s|@~\wc@v`@qn@|Tig@vKg\bIi[xCwNbJkm@hEcf@~BkHxJuLlPcRpCq@bBPtCfC~B`KdXzyA|[pgBvDdMrGvGdmAb|@`sAncArc@n\zEKzEgIzXqv@|b@olAdFoJlLqMlx@e|@dv@ey@bx@c{@lP_PnD}ArGeBhIg@ha@zAdHV|Nb@`f@`B``CbIxLj@bJrBpI~Ahk@H`]c@`OeA|IqE|OkNryC_gBla@sVpa@iVf]sPjLqCvEe@fe@StQApF{@tc@cSpFoIpD_KfPea@jFqK`Nw\bd@_jAjIuQrb@cf@zHoGjGo@jFeAfCICaB_@cAuDJqDLQyLaAoGeIiT{Lq[yK{Y,188,188,"[7:30,8:30,9:20,10:00,15:10,18:35,20:40]","[7:30,8:30,9:20,10:00,15:10,18:35,20:40]","[7:30,8:30,9:20,10:00,15:10,18:35,20:40]","[7:30,8:30,9:20,10:00,15:10,18:35,20:40]","[7:30,8:30,9:20,10:00,15:10,18:35,20:40]","[9:10,11:10,12:15,15:10,17:10,18:55,20:40]","[9:10,11:10,12:15,15:10,17:10,18:55,20:40]","[9:40,12:05,15:20,18:10,19:20,20:50,22:15]","[9:40,12:05,15:20,18:10,19:20,20:50,22:15]","[9:40,12:05,15:20,18:10,19:20,20:50,22:15]","[9:40,12:05,15:20,18:10,19:20,20:50,22:15]","[9:40,12:05,15:20,18:10,19:20,20:50,22:15]","[11:10,13:10,16:05,19:10,20:10,21:45,0:10]","[11:10,13:10,16:05,19:10,20:10,21:45,0:10]"
Capitol Corridor,"Sacramento, CA","Oakland, CA",_}njFjrqdV{JpABh@H`BH|HInGqGt_@w@~IoAdo@yBphAShPLlOb@pM`CvVbTd}AxoB|uNxuAt|JfW~iBvVpgBtAnJpAnF~AfErBrDtGdHnRlPh`@t\\j[xWlz@ht@fuBlhBnX~T`r@rl@t}AnsA|lBz`B`t@|m@zzFh_FpmB`aBfaCbsBvb@h^lTpR~{@pt@jaBlvAz_@b\\vg@~b@~[vXvHnG~J|G|h@dXhNfHdi@lXpJxGxHvGjJlLrIlNlFhLl[zr@tFbLt_@xz@pCvF|O~^bb@`_AjX~l@jfAr`Cba@z|@jGzK`IvJnKzInGpDzc@hRveAnd@dy@p]lyBl_A~ZdNtp@~XhtBv|@xyBh_A|h@fU|RlI|SzHtKhBbKd@dTOh}Au@hOJpQnAnuAzUbWjEvDfAfEtBxClCnFnE~\\bZ|k@nh@fi@ve@`FzBtC|@p]hHtFt@vLl@`Lj@fGUdFqBxj@oa@~c@e[hHyAbHJpVzAzEpApCxAfDhDdEnHtAhHbHbd@`C`H~IvO`DxJtBrUp@pRMbHyBlN_FjR{Sfs@qR`m@}I|XsDlGmH|DsBjBgBzC}CrF}ElDsDl@cMz@_G`BkJfHaNlG}E`DyCxCaC`EiFzKkFdGqGjHmKlT{D|Kk@hOc@|WqBjQsOxfA}DhYAdG|CtMt@nEd@`IStFsEp`Aq@hMuAvGgAjG?lFp@nE`BlFrDfIjGnL~KvJbCdChBnDhArGRrFPlUPlNv@zDfArCVh@vC`DbEpA`Hj@vV~AvH~@nFlDzCtEv@pB`DtOlHt]fDjEvBpAjDt@tOtAbIzBpFxB|C|BjI|LdBjBbK`EfKvGrCdF`FlXb@lB`B`EzBpCrDrC~FhEtJhHbKnJxFbG|FrHjBvEb@`Dg@vZC~JjBdTUrD{@`FcDtQO|G|@dGtBfErQpTzHjLbOtWpHhOfBzGx@~Fb@|G@hF[bHyEn`@eBzN]vJ\\zJbAjHjBhHbEvIlFrGtF|DvFvBxCj@fPbAr`@~Af\\rArcB|Gvs@zC~YvAlR@~OcAdMsB~QqFhLgFxJ_G~I{GrJaJzDsEnJcN`C{DvOmUdp@_bA|Wk`@xMwNhc@_]vYyTpo@gf@zLqIrIcDnZgFfZ}E~VkFpl@sMde@kKtoBic@f^cIjXyFnL{BzLuAnT_A|L?xHRzQtAfNlCrE~A~EbD|IzKnIhLxVt[xHvIxAlA|DvB|FxAlGPzAEjGmAzDoBdHiGlD}F~C{IjCgL~Fcd@xBiObAcDzA}I|BqNfJy\\jFsQjGcUrBgHw@c@,125,125,"[10:40, 11:55,13:10, 17:10,19:40,21:55,0:10,1:30]","[10:40, 11:55,13:10, 17:10,19:40,21:55,0:10,1:30]","[10:40, 11:55,13:10, 17:10,19:40,21:55,0:10,1:30]","[10:40, 11:55,13:10, 17:10,19:40,21:55,0:10,1:30]","[10:40, 11:55,13:10, 17:10,19:40,21:55,0:10,1:30]","[13:30,20:00,22:35,1:30]","[13:30,20:00,22:35,1:30]","[8:25,9:25,15:15,17:50,18:30,19:50,21:10,1:00]","[8:25,9:25,15:15,17:50,18:30,19:50,21:10,1:00]","[8:25,9:25,15:15,17:50,18:30,19:50,21:10,1:00]","[8:25,9:25,15:15,17:50,18:30,19:50,21:10,1:00]","[8:25,9:25,15:15,17:50,18:30,19:50,21:10,1:00]","[11:15, 18:00,19:10,23:30]","[11:15, 18:00,19:10,23:30]"
